Charge,ChargeTitle,ChargeSubtitle
50,Defect,Brakes
51,Defect,Tires
52,Defect,Steering
53,Defect,Exhaust System
55,Defect,Headlights
58,Defect,Driver's Seat
59,Defect,Suspension
61,Defect,Glass Tint
64,Defect,Stop Lights
67,Defect,Wheel Alignment
70,Defect,Cap
72,Defect,Wheels Lugs
74,Defect,Floor
77,Defect,Speedometer
81,Defect,Fog Lamps
85,Defect,External Air Brake
89,Defect,Safety Belts
90,Defect,Lift Axle
10-303(a),Business Regulation,Fuel Transport or Sale
10-309(a),Business Regulation,Fuel Transport or Sale
10-309(c),Business Regulation,Fuel Transport or Sale
10-310(b),Business Regulation,Fuel Transport or Sale
10-310(c),Business Regulation,Fuel Transport or Sale
10-315(b),Business Regulation,Fuel Transport or Sale
10-319.2,Business Regulation,Fuel Transport or Sale
10-320(a),Business Regulation,Fuel Transport or Sale
10-406(b),Business Regulation,Fuel Transport or Sale
10-410(2),Business Regulation,Fuel Transport or Sale
10-501(b),Business Regulation,Fuel Transport or Sale
11-107.62(0b),Federal Regulations,Transporting Hazardous Materials
11-1527.0(8a),Federal Regulations,Driving without Proper License
11-172.20(0a),Federal Regulations,Transporting Hazardous Materials
11-172.20(2a),Federal Regulations,Transporting Hazardous Materials
11-172.30(0),Federal Regulations,Transporting Hazardous Materials
11-172.32(8b1),Federal Regulations,Transporting Hazardous Materials
11-172.33(4b),Federal Regulations,Transporting Hazardous Materials
11-172.50(2a),Federal Regulations,Transporting Hazardous Materials
11-172.50(2a2),Federal Regulations,Transporting Hazardous Materials
11-172.51(6),Federal Regulations,Transporting Hazardous Materials
11-172.51(9),Federal Regulations,Transporting Hazardous Materials
11-177.80(4),Federal Regulations,Transporting Hazardous Materials
11-177.81(7),Federal Regulations,Transporting Hazardous Materials
11-177.81(7e),Federal Regulations,Transporting Hazardous Materials
11-177.83(4),Federal Regulations,Transporting Hazardous Materials
11-180.41(5a),Federal Regulations,Improper Transportation of Cargo
11-383.23,Federal Regulations,Commerical Driving
11-383.3B,Federal Regulations,Commerical Driving
11-383.91(a),Federal Regulations,Commerical Driving
11-383.93(b),Federal Regulations,Commerical Driving
11-385.33(1),Federal Regulations,Commerical Driving
11-390.11,Federal Regulations,Reckless Driving
11-390.21,Federal Regulations,Driving without Proper License
11-390.35,Federal Regulations,Falsifying Evidence
11-391.11(a),Federal Regulations,Commerical Driving
11-391.11(b2),Federal Regulations,Misc
11-391.15,Federal Regulations,Misc
11-391.1C,Federal Regulations,Misc
11-391.41(a),Federal Regulations,Misc
11-392.10(a),Federal Regulations,Misc
11-392.11,Federal Regulations,Misc
11-392.14,Federal Regulations,Misc
11-392.16,Federal Regulations,Misc
11-392.2,Federal Regulations,Misc
11-392.22,Federal Regulations,Misc
11-392.33,Federal Regulations,Misc
11-392.3A,Federal Regulations,Misc
11-392.4A,Federal Regulations,Misc
11-392.5A,Federal Regulations,Misc
11-392.5A(3),Federal Regulations,Misc
